[Parameters]
Operating Mode, Non-Feedback
0.152,0.045,0.277,-5.337
0.103,0.043,0.282,-5.337
0.075,0.042,0.284,-5.337
0.072,0.041,0.282,-5.337
0.157,0.041,0.281,-5.337
0.195,0.043,0.279,-5.337
0.175,0.046,0.278,-5.337
0.127,0.048,0.279,-5.337
0.088,0.050,0.280,-5.337
0.097,0.051,0.282,-5.337
0.168,0.051,0.283,-5.337
0.125,0.050,0.283,-5.337
0.070,0.054,0.279,-5.337
0.084,0.052,0.279,-5.337
0.185,0.050,0.280,-5.337
0.259,0.048,0.282,-5.337
0.284,0.043,0.282,-5.337
0.373,0.040,0.281,-5.337
0.295,0.045,0.282,-5.337
0.168,0.048,0.285,-5.337
0.155,0.048,0.284,-5.337
0.213,0.048,0.280,-5.337
0.182,0.049,0.277,-5.337
0.150,0.049,0.284,-5.337
0.119,0.051,0.287,-5.337
0.085,0.051,0.287,-5.337
0.104,0.050,0.284,-5.337
0.114,0.051,0.280,-5.337
0.108,0.045,0.279,-5.337
0.150,0.049,0.281,-5.337
0.200,0.051,0.282,-5.337
0.225,0.050,0.280,-5.337
0.218,0.048,0.281,-5.337
0.236,0.048,0.287,-5.337
0.221,0.050,0.288,-5.337
0.150,0.053,0.280,-5.337
0.101,0.054,0.276,-5.337
0.145,0.052,0.276,-5.337
0.192,0.048,0.279,-5.337
0.202,0.050,0.284,-5.337
0.154,0.049,0.288,-5.337
0.128,0.047,0.284,-5.337
0.195,0.049,0.281,-5.337
0.210,0.047,0.282,-5.337
0.192,0.045,0.286,-5.337
0.222,0.046,0.287,-5.337
0.175,0.049,0.284,-5.337
0.197,0.051,0.280,-5.337
0.240,0.054,0.279,-5.337
0.320,0.048,0.281,-5.337
0.316,0.051,0.282,-5.337
0.284,0.051,0.279,-5.337
0.314,0.049,0.278,-5.337
0.310,0.047,0.281,-5.337
0.255,0.046,0.282,-5.337
0.249,0.047,0.281,-5.337
0.257,0.049,0.282,-5.337
0.215,0.050,0.286,-5.337
0.200,0.051,0.288,-5.337
0.217,0.051,0.288,-5.337
0.233,0.052,0.282,-5.337
0.197,0.053,0.279,-5.337
0.219,0.054,0.278,-5.337
0.289,0.053,0.283,-5.337
0.280,0.051,0.284,-5.337
0.287,0.050,0.285,-5.337
0.320,0.047,0.281,-5.337
0.274,0.051,0.280,-5.337
0.188,0.054,0.282,-5.337
0.207,0.051,0.287,-5.337
0.268,0.050,0.287,-5.337
0.287,0.054,0.286,-5.337
0.250,0.053,0.285,-5.337
0.215,0.053,0.282,-5.337
0.214,0.056,0.283,-5.337
0.234,0.056,0.284,-5.337
0.186,0.057,0.280,-5.337
0.150,0.058,0.281,-5.337
0.133,0.057,0.287,-5.337
0.237,0.052,0.286,-5.337
0.358,0.050,0.284,-5.337
0.335,0.057,0.282,-5.337
0.229,0.058,0.279,-5.337
0.265,0.057,0.279,-5.337
0.323,0.057,0.282,-5.337
0.295,0.059,0.283,-5.337
0.335,0.056,0.286,-5.337
